Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
YEGRO SEGOVIA EUGENIO, Y OTROS C.B.	50	Yegro Segovia Eugenio y otros CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
ZAPATA, S.A.	69	Zapata SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ZAZO HERMANOS, C.B.	57	Zazo Hermanos C.B.	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
AGENCIA DE L'HABITATGE DE CATALUNYA	5435	Generalitat de Catalunya	España	España	Empresas públicas o administraciones	CCAA	Parque público	NA	Cataluña	Sociedad Pública
INCASÒL	5044	Generalitat de Catalunya	España	España	Empresas públicas o administraciones	CCAA	Parque público	NA	Cataluña	Sociedad Pública
INSTITUT MUNICIPAL HABITATGE I REHAB. DE BARCELONA	4495	Ajuntament de Barcelona	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
BUILDINGCENTER SAU	2059	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
SAREB SA	2045	Sareb	España	España	Empresas públicas o administraciones	Administración central	Entidades financieras	Sociedad de gestión de activos	Cataluña	Sociedad Pública
DIVARIAN PROPIEDAD SA	1868	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
BANCO BILBAO VIZCAYA ARGENTARIA S.A.	1757	BBVA	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
VIVIENDA ASEQUIBLE ARRENDAMIENTO Y SERVICIOS SLU	1667	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
BANCO SABADELL SA	1625	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
CEVASA, PATRIMONIO EN ALQUILER SL	1602	Compañía Española de Viviendas en Alquiler SA (Cevasa)	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BUDMAC INVESTMENTS II, S.L.,	1064	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
INMUEBLES EN RENTA, S.A.	1027	Inmuebles en Renta SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
VIMUSA, HABITATGES MUNICIPALS DE SABADELL S.A.	1015	Ajuntament de Sabadell	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
INDICESA L'ILLA SL	923	Indicesa L'Illa SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BCN HOUSING PLACE SL	893	Azora	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LIVINGCENTER ACTIVOS INMOBILIARIOS SAU	889	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
NESTAR RESIDENCIAL SII SA	749	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SOCIETAT MUNICIPAL D'HABITATGE DE TERRASSA SA	745	Ajuntament de Terrassa	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
VIVENIO RESIDENCIAL SOCIMI SA	722	Renta Corporación	España	España	Socimi	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SOCIETAT DE ARRENDAMENTS 2007 NN SLU	693	Núñez i Navarro	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ONIX RENTA SLU	636	Grupo Icyesa	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SBD LLOGUER SOCIAL, SA	589	Compañía Española de Viviendas en Alquiler SA (Cevasa)	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BUDMAC INVESTMENTS S.L.	572	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
PROMOCIONES LLADERO SA	548	Goldman Sachs	Estados Unidos	Delaware	Empresa privada	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
SPM PROMOCIONS MUNICIPALS DE SANT CUGAT DEL VALLÈS	508	Ajuntament San Cugat del Vallés	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
TESTA RESIDENCIAL SOCIMI SA	460	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
FUNDACIO PRIVADA FOMENT DE L'HABITATGE SOCIAL	426	Fundació Habitatge Social	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
REGESA	385	Área Metropolitana de Barcelona	España	España	Empresas públicas o administraciones	Metropolitana	Parque público	NA	Cataluña	Sociedad Pública
ALCOTAS INMOBILIARIA,S.L.U	359	Grupo Corporativo Landon	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BANCO SANTANDER SA	322	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
PROMONTORIA MACC MARINA RE SAU	315	Cerberus	Estados Unidos	Irlanda	Empresa privada	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
FAMÍLIA I BENESTAR SOCIAL, FUND. PRIVADA	315	Fundació Família i Benestar Social	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
AJUNTAMENT DE BARCELONA	314	Ajuntament de Barcelona	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
PROMONTORIA COLISEUM RESIDENTIAL SLU	310	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
FUNDACIÓ PRIVADA HOSPITAL DE LA SANTA CREU I SANT PAU	300	Fundación Privada Hospital de la Santa Creu i Sant Pau	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
COLON VIVIENDAS S.I.I. SA	297	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SAU CRITERIA CAIXA	295	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
VISOREN RENTA SAU	274	Visoren	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA IRASA SA	270	Inmobiliaria Irasa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROMOCIONS URBANITIQUES DE MATARO SA	257	Ajuntament de Mataró	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
SABADELL PATRIMONIO INMOBILIARIO SOCIMI SA	256	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
CONSORCI DEL BARRI DE LA MINA	252	Generalitat de Catalunya	España	España	Empresas públicas o administraciones	CCAA	Parque público	NA	Cataluña	Sociedad Pública
PAC SL	248	Pac SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GESCAT VIVENDES EN COMERCIALITZACIO SL	241	BBVA	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
FOMENT DE LA REHABILITACIÓ URBANA DE MANRESA, S.A.	240	Ajuntament de Manresa	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
FUNDACIÓ PRIVADA NOU LLOC HABITATGE SOCIAL	237	Fundació Nou Lloc Habitatge Social	España	España	Fundaciones	NA	Fundaciones	NA	Cataluña	Sociedad Privada
UNIÓN INMOBILIARIA, S.A.	234	Unión Inmobiliaria SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GRAMEPARK SA	232	Ajuntament de Santa Coloma de Gramanet	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
INMOBILIARIA GALLARDO SL	224	Inmobiliaria Gallardo SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CIA GRAL DE FOM INMOBILIARIO SL	203	Compañia General de Fomento Inmobiliario	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SANTIVERI LLOGUER SLU	200	Llumifels SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SAGA S.L.	199	Saga SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA SAJU SA	195	Inmobiliaria Saju SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
UNIÓN DE CRÉDITOS INMOBILIARIOS,S.A.	192	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
GRAUCLA SL	192	Graucla SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MARBORI SL	190	Marbori SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
IMPSOL	187	Área Metropolitana de Barcelona	España	España	Empresas públicas o administraciones	Metropolitana	Parque público	NA	Cataluña	Sociedad Pública
FACERAS SLU	177	Faceras SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LANUSEI INVESTMENTS S.L.	176	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
ADIF	175	AGE	España	España	Empresas públicas o administraciones	NA	Otros	NA	Cataluña	Sociedad Pública
COMPLEJO INMOBILIARIO, S.A.U.	175	Melga Finance SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
EDFICACIONES ADRIANO S.A.	172	Edificaciones Adriano SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA PUIGCARBO SA	171	Inmobiliaria Puigcarbo SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MONTSERRAT, S.L.	170	Montserrat SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CONSTRUCCIONES INMOB.PETRARCA SL	167	Construcciones Inmobiliarias Petrarca SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BALMA SL	166	Balma SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SABADELL REAL ESTATE DEVELOPMENT SL	154	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
APARCAMIENTOS DESPI SA	153	Ajuntament de Sant Joan Despí	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
INMOBILIARIA MEDITERRANIA DE VIVIENDAS EN ALQUILER	152	Inmobiliaria Mediterránea de Viviendas en Alquiler SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RIUCLA SL	152	Riucla SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SOL EDIFICAT PONENT SL	152	Sol Edificat Ponent SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROMONTORIA MACC RE SOCIMI SA	151	Cerberus	Estados Unidos	Irlanda	Socimi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
CONSORCI SOCIOSANITARI D'IGUALADA	149	Ajuntament d'Igualada	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
VINAPE S L	149	Vinape SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
YBN INVERSIONES SL	145	YBN Inversiones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
AJUNTAMENT DE L’HOSPITALET DE LLOBREGAT	143	Ajuntament de L'Hospitalet de Llobregat	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
ADVERO PROPERTIES SOCIMI, S.A	142	Adequita Capital Ltd	Reino Unido	España	Socimi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
ALCROS SL	142	Alcros SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SARO 2015 SL	142	Saro 2015 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GESTION DE PATRIMONIOS VALLS, S.L.	140	Gestión de Patrimonios Valls SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SEMISSIS SL	140	Semissis SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
TEMPORE PROPERTIES SOCIMI SA	139	TPG	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
CIA. GRAL. CONSTR. GUADALEST, S.L.	138	Compañia General de Construcciones Guadalest SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LUGOBASI, S.L.	136	Lugobasi SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CARLANNA SL	135	Carlanna SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CORAL HOMES SLU	135	Lone Star	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
GITSA	132	Gitsa	España	España	Empresa privada	NA	Entidades financieras	Intermediarios financieros	Cataluña	Sociedad Privada
BASIDELTA SL	131	Basidelta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROMUNSA SA	130	Ajuntament Sant Just Desvent	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
INMOVILIARIA VILADOMAT SA	130	Inmoviliaria Viladomat SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
S.A. DE PROPIEDAD INMOBILIARIA	130	SA de Propiedad Inmobiliaria	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
IMSA HABITATGE SOCIAL S.L.	129	Imsa Habitatge Social SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
Z. PUY & SOLER, S.L.	128	Z. Puy & Soler SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
NOMAR, SL	125	Nomar SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MONPA SA	123	Monpa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PATRIMONIAL HEFER, SA	123	Patrimonial Hefer SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIÀRIA XIFRÓ S.L.	120	Inmobiliària Xifró SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
B62055462 TORO CONSTRUCCIONES Y OBRAS SL	120	Toro Construcciones y Obras SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BRAKER Y CONEI SL	119	Conei Compañía Internacional de Inversiones SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Cataluña	Sociedad Privada
CONSTRUCCIONES NERVION, S.A.	119	Riart SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROMONTORIA COLISEUM REAL ESTATE SLU	117	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
INSALA SA	117	Insala SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GLOBAL LICATA SAU	116	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
COMERCIAL BERLIN, S.L.	115	Comercial Berlín SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ARLIPA SL	112	Corporación Ivamosa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FIN-SAN 2001 S.L.	109	Fin San 2001 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA BACAMA SA	107	Inmobiliaria Bacama SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA ALSAMA, S.A.	106	Inmobiliaria Alsama SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ROBECO INVEST SL	106	Robeco Invest SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CUROGAR SA CUROGAR SA	104	Curogar SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA URBANA S L	104	Inmobiliaria Urbana SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ALMOSA	103	Almosa	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA RIUS SL	102	Inmobiliaria Rius SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
TERRA GRIS SL	101	Terra Gris SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ARTOS, S.L.	100	Artos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ARRENDAMIENTOS Y BIENES INMUEBLES SL	99	Arrendamientos y Bienes Inmuebles SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
JARIES SA	99	Jaries SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
WORLD INMUEBLES SL	99	Skipper Investments SL	España	España	Empresa privada	NA	Consultoría	NA	Cataluña	Sociedad Privada
UNION GENERAL INMOBILIARIA SA	98	Unión General Inmobiliaria SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
VELASTE SL	98	Velaste SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CAIXA D'ESTALVIS DE CATALUNYA TARRAGONA I MANRESA	97	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
INMOBILIARIA IASA SL	97	Inmobiliaria Iasa SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LM JORBA FINQUES SL	97	LM Jorba Finques SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INVERSIONES NUPROSA SL	97	Núñez i Navarro	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ACMAR, S.L.	96	Acmar SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROMOCIONS URBANES DE RUBÍ, SA	96	Ajuntament de Rubí	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Cataluña	Sociedad Pública
INMOBILIARIA HUCART	96	Inmobiliaria Hucart	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
FUENTESCU, S.L.	95	Fuentescu SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SALAS JAURENA SL	95	Salas Jaurena SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SIMORO SL	95	Simoro SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ALQUI,S.A.	94	Alqui SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ANONIMA DEL PILAR SLU	94	Anónima del Pilar SLU	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ARQUIGESTIO SA	94	Arquigestio SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INVERSIONES INMOBILIARIAS LIMARA SLU	94	Blackstone	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
INMOBILIARIA ARGOMIS SA	92	Inmobiliaria Argomis SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RENTA CORPORACIÓN REAL ESTATE ES, SAU	92	Renta Corporación	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ALEIX SL	91	Aleix SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
GRAMINA HOMES SL	91	Lone Star	Estados Unidos	Bermudas	Empresa privada	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
ADEVIPE SA	90	Adevipe SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SEBASTIAN ALQUILERES DIRECTOS S.L	90	Alquileres Directos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CONSTRUCCIONES GUITART SL	90	Construcciones Guitart SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOB. FIDUCIARIA E. BERRENS, SL	90	Inmobiliaria y Fiduciaria E Berrens SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MICASAN SL	90	Micasan SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
NUTAIBA, S.L.	90	Nutaiba SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
VIVENIO DELTA SLU	90	Renta Corporación	España	España	Socimi	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
MEHOPA, S.A.	89	Mehopa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CIMENTADOS 3 SA	88	Grupo Cajamar	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
COMPAÑIA DE JESUS PROVINCIA DE ESPAÑA	87	Compañía de Jesús Provincia de España	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Cataluña	Sociedad Privada
VILA VALLS, S.A.	86	Vila Valls SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ANIDA OPERACIONES SINGULARES SA	85	BBVA	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
LACKANTON EDIFICACIONES SL	85	Lackanton Edificaciones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PROMOC CGP INVEST SL	85	Promoc C G P Invest SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
BAALBECK, S.A.U.	84	Ballbeck SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INDUSTRY IBERICA SL	84	Industry Ibérica SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INSTITUTO HISPANO DE OBRAS Y CONSTRUCCIONES SA	84	Instituto Hispano de Obras y Construcciones SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INVERGAB SBD SL -	84	Invergab SBD SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
PIVER SL	84	Piver SL	España	España	Empresa privada	NA	Construcción	NA	Cataluña	Sociedad Privada
SIDOR SL	84	Sidor SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
B58516469 ALIBUCA SL	82	Alibuca SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
HOMAC, S.A.	82	Homac SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
JM Y CAI SL	82	Im y Cai SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMO BAULAN S. L.	82	Inmo Baulan SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
NOVAINEXA SL	82	Novainexa SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
VIEMCIERO SL	82	Viemciero SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA JUMARNAL, SL	80	Inmobiliaria Jumarnal SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SARDES HOLDCO SL	80	Lone Star	Estados Unidos	Luxemburgo	Soparfi	NA	Entidades financieras	Fondos de inversión	Cataluña	Sociedad Privada
SAPPORO CONSTRUMAT SL	80	Planeament Urbanistic i Empresarial del Maresme	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
EURO SPAIN PROMOCIONES HOTELERAS SL	79	Euro Spain Promociones Hoteleras SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RODESAN, S.A.U.	79	Grup Volumetric	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA MUNTANER SL	79	Inmobiliaria Muntaner SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
INMOBILIARIA SACOVI SL	79	Inmobiliaria Sacovi SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
IMMOBILIARIA SAN QUINTIN	79	Inmobiliaria San Quintín	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
JORMAVI SL	79	Jormavi SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
RAINPAT RENTA SLU	79	Rainpat 2015 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
CIESGA SL	78	Ciesga SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LANDIA BCN SL	78	Lanbal BCN SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
ORDEN HOSPITALARIA DE SAN JUAN DE DIOS	78	Orden Hospitalaria de San Juan de Dios	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Cataluña	Sociedad Privada
TAURO REAL ESTATE SL	78	Tauro Real Estate SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
SERVIHABITAT ALQUILER II SL	77	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
SERVIHABITAT ALQUILER SL	77	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Cataluña	Sociedad Privada
FOMENTO INMOBILIARIA CASACLARA SA	77	Fomento Inmobiliaria Casaclara SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
LOVIRENT SL	77	Lovirent SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
OLLETSAC SL	77	Olletsac SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Cataluña	Sociedad Privada
