Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
TERRENOS URBANIZABLES DE AYAMONTE	91	Ayuntamiento de Ayamonte	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
VIA OUTLETS SEVILLA SL	66	Via (NL) 5 BV	Países Bajos	Países Bajos	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
GESMAR PROICASA SA	91	Gesmar Proicasa	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
JOIGCA SA	91	Joigca SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
REAL FUNDACION PATRONATO DE LA VIVIENDA DE SEVILLA	92	Real Fundación Patronato de la Vivienda de Sevilla	España	España	Fundación	NA	Fundaciones de vivienda social	NA	Andalucia	Sociedad Privada
AREA SUR SHOPPING SL	93	Afiens Legal SLP	España	España	Empresa privada	NA	Consultoría y abogacía	NA	Andalucia	Sociedad Privada
PRODUSA, SOCIEDAD DE PROMOCION Y DESARROLLO DE UTRERA	93	Ayuntamiento de Utrera	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
CLAROS S. COOP. AND.	93	Claros SCA	España	España	Cooperativa	NA	Otros	Geriátricos	Andalucia	Sociedad Privada
MAÑAS CANO SL	93	Mañas Cano SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
MERLIN PROPERTIES SOCIMI, S.A.	93	Merlin Properties Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
ARRENDALAR, SL	95	Arrendalar SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
ALQUILERES ANGOCHI SL	96	Alquileres Angochi SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
AHORRO CORPORACION PATRIMONIO INMOBILIARIO FII	97	Abanca	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
CEETRUS URBAN PLAYER SPAIN, S.A.	99	Elsimar Beheermaatschappij BV	Países Bajos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
JAYLE INVERSIONES, S.L.	100	Jayle Inversiones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
VIVENIO RESIDENCIAL SOCIMI SA	100	Renta Corporación	España	España	Socimi	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
RED LOGISTICA DE ANDALUCIA SA	102	Junta de Andalucía	España	España	Empresa pública	CCAA	Parque público	NA	Andalucia	Sociedad Pública
ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS SA	103	Grupo Allianz	Alemania	Alemania	Empresa privada	NA	Seguros	NA	Andalucia	Sociedad Privada
ARRENDAMIENTOS LUNA SL	105	Inmobiliaria Luna de Granada	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
DIVARIAN PROPIEDAD SA	106	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
BANCO BILBAO VIZCAYA ARGENTARIA SA	110	BBVA	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
PROMOCIONES INMOBILIARIAS PUNTALON SL	111	Grupo Inmobiliario Río Azul SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
UNICOSA RENTA SL	111	Unicosa Renta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
RIVIERA INTERNATIONAL SA	114	Grupo Riviera International y Otros	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Andalucia	Sociedad Privada
PARQUE MIRAMAR SL	122	Myramar Grupo 1958	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
FUNDACION SAN RAFAEL ENTIDAD BENEFICA DE CONSTRUCCION	127	Fundación San Rafael Entidad benéfica de construcción	España	España	Fundación	NA	Fundaciones de vivienda social	NA	Andalucia	Sociedad Privada
METROPOLIS LUCENA SL	136	Metrópolis Lucena SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
CAJAMAR CAJA RURAL SDAD COOP DE CREDITO	139	Banco de Crédito Social Cooperativo	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
INVERLET SL	139	Inverlet SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
AYUNTAMIENTO DE BENALMADENA	140	Ayuntamiento de Benalmádena	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
LE RETAIL LAGOH, S.L.U.	140	Vukile Property Fund Limited	Sudáfrica	España	Socimi	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
INMO CRITERIA ARRENDAMIENTO II S.L.U.	290	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
SUELO Y VIVIENDA DE LUCENA SA	142	Ayuntamiento de Lucena	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
FUNDACION VIMPYCA ENTIDAD BENEFICA DE CONSTRUCCION	143	Vimpyca	España	España	Fundación	NA	Fundaciones de vivienda social	NA	Andalucia	Sociedad Privada
HACIENDA RETAMAR SA	144	Hacienda Retamar SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
URBASS EUROFINANCE, SA	153	Urbass Eurofinance SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
EMPRESA MUNICIPAL DE URBANISMO SA	164	Ayuntamiento de Sevilla	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
CATELLA WE-08 SPAIN, S.L.U.	175	Catella Real Estate AG	Alemania	Alemania	Empresa privada	NA	Consultoría y abogacía	NA	Andalucia	Sociedad Privada
HABITEA ACTIVOS 2010 SL EN LIQUIDACION	179	Habitea Activos 2010 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
COSTASOL DE HIPERMERCADOS, SL	63	Costasol de Hipermercados SL	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
EMPRESA MUNICIPAL DE LA VIVIENDA DE HUELVA SA	182	Ayuntamiento de Huelva	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
